index,Research Method,Continent,Measure of invasion success,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of disturbance,Type of disturbance,Direct anthropogenic dist.?,Study date,study,publication
Exotic and native vegetation establishment following channelization of a western Iberian river/Contribution 1,Observational or correlational,Europe,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,21,Testing the disturbance hypothesis in invasion biology,"channelized river segment, 'natural' river sites",Others,Yes,2001,Exotic and native vegetation establishment following channelization of a western Iberian river/Contribution 1,Exotic and native vegetation establishment following channelization of a western Iberian river
Exotic and native vegetation establishment following channelization of a western Iberian river/Contribution 2,Observational or correlational,Europe,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,21,Testing the disturbance hypothesis in invasion biology,"channelized river segment, 'natural' river sites",Others,Yes,2001,Exotic and native vegetation establishment following channelization of a western Iberian river/Contribution 2,Exotic and native vegetation establishment following channelization of a western Iberian river
Anthropogenic Disturbance Can Determine the Magnitude of Opportunistic Species Responses on Marine Urban Infrastructures/Contribution 1,Experimental,Europe,Cover of exotic species,Disturbance,Supported,Field,Marine,Algae,2,Testing the disturbance hypothesis in invasion biology,"maintenance and renovation works (infrastructures, commercial and tourist activities) - monitored maintenance interventions to breakwaters ",Urbanization,Yes,2011,Anthropogenic Disturbance Can Determine the Magnitude of Opportunistic Species Responses on Marine Urban Infrastructures/Contribution 1,Anthropogenic Disturbance Can Determine the Magnitude of Opportunistic Species Responses on Marine Urban Infrastructures
Plant invasions along mountain roads: the altitudinal amplitude of alien Asteraceae forbs in their native and introduced ranges/Contribution 1,Observational or correlational,North America and Europe,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,8,Testing the disturbance hypothesis in invasion biology,close and away form roads,Urbanization,Yes,2009,Plant invasions along mountain roads: the altitudinal amplitude of alien Asteraceae forbs in their native and introduced ranges/Contribution 1,Plant invasions along mountain roads: the altitudinal amplitude of alien Asteraceae forbs in their native and introduced ranges
"The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban/wildland interface on the Cape Peninsula, South Africa/Contribution 1",Observational or correlational,Africa,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,43,Testing the disturbance hypothesis in invasion biology,"habitat types: natural Afromontane forest, riverine woodland habitats, and plantations of exotic pines (Roads and frequently used paths were considered as highly disturbed areas, moderately used paths were considered areas of medium disturbance while patches positioned far from paths were deemed areas of low disturbance)",Urbanization,Yes,2006,"The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban/wildland interface on the Cape Peninsula, South Africa/Contribution 1","The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban"
"The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban/wildland interface on the Cape Peninsula, South Africa/Contribution 2",Observational or correlational,Africa,Abundance/density of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,43,Testing the disturbance hypothesis in invasion biology,"habitat types: natural Afromontane forest, riverine woodland habitats, and plantations of exotic pines (Roads and frequently used paths were considered as highly disturbed areas, moderately used paths were considered areas of medium disturbance while patc",Urbanization,Yes,2006,"The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban/wildland interface on the Cape Peninsula, South Africa/Contribution 2","The roles of habitat features, disturbance, and distance from putative source populations in structuring alien plant invasions at the urban"
Effects of small-scale disturbance on invasion success in marine communities/Contribution 1,Experimental,North America,Cover of exotic species ,Disturbance,Supported,Field,Marine,Other invertebrates,4,Testing the disturbance hypothesis in invasion biology,Disturbances were created by randomly removing all organisms from sub-sections of the panels at different amounts and frequencies,Storm,No,2007,Effects of small-scale disturbance on invasion success in marine communities/Contribution 1,Effects of small-scale disturbance on invasion success in marine communities
Disturbance as a factor in the distribution of sugar maple and the invasion of Norway maple into a modified woodland/Contribution 1,Observational or correlational,,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,path and undisturbed (no path) + distance form the road,Urbanization,Yes,1999,Disturbance as a factor in the distribution of sugar maple and the invasion of Norway maple into a modified woodland/Contribution 1,Disturbance as a factor in the distribution of sugar maple and the invasion of Norway maple into a modified woodland
"The incidence of exotic species following clearfelling of Eucalyptus regnans forest in the Central Highlands, Victoria/Contribution 1",Observational or correlational,Oceania,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,7,Testing the disturbance hypothesis in invasion biology,clearfelling by fire,Management methods ,Yes,1998,"The incidence of exotic species following clearfelling of Eucalyptus regnans forest in the Central Highlands, Victoria/Contribution 1","The incidence of exotic species following clearfelling of Eucalyptus regnans forest in the Central Highlands, Victoria"
"The incidence of exotic species following clearfelling of Eucalyptus regnans forest in the Central Highlands, Victoria/Contribution 2",Observational or correlational,Oceania,Cover of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,7,Testing the disturbance hypothesis in invasion biology,comparison: mean road (high disturbed) and minor road (occasionally disturbed),Urbanization,Yes,1998,"The incidence of exotic species following clearfelling of Eucalyptus regnans forest in the Central Highlands, Victoria/Contribution 2","The incidence of exotic species following clearfelling of Eucalyptus regnans forest in the Central Highlands, Victoria"
Invasion patterns of ground-dwelling arthropods in Canarian laurel forests/Contribution 1,Observational or correlational,Africa,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Insects,21,Testing the disturbance hypothesis in invasion biology,to test climatic effects on the proportion of invasives we used the potential direct solar insolation (PDSI),Global warming ,No,2008,Invasion patterns of ground-dwelling arthropods in Canarian laurel forests/Contribution 1,Invasion patterns of ground-dwelling arthropods in Canarian laurel forests
"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 1",Experimental,North America,Biomass of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"disturbance treatments (increasing intensity): (1) undisturbed old field (control), (2) mowing resident vegetation to a height of 20 cm annually, ",Economic land use ,Yes,2010,"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 1","Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA"
"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 2",Experimental,North America,Biomass of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"4 disturbance treatments (increasing intensity): (1) undisturbed old field (control),  (3) killing vegetation using herbicides, and (4) killing vegetation using herbicides plus tillage",Management methods,Yes,2010,"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 2","Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA"
"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 3",Experimental,North America,Growth/emergence of exotic individuals,Disturbance,Undecided,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"disturbance treatments (increasing intensity): (1) undisturbed old field (control),(2) mowing resident vegetation to a height of 20 cm annually",Economic land use,Yes,2010,"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 3","Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA"
"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 4",Experimental,North America,Growth/emergence of exotic individuals,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"disturbance treatments (increasing intensity): (1) undisturbed old field (control), (3) killing vegetation using herbicides, and (4) killing vegetation using herbicides plus tillage",Management methods,Yes,2010,"Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA/Contribution 4","Establishment of the invasive perennial Vincetoxicum rossicum across a disturbance gradient in New York State, USA"
"Contingency of grassland restoration on year, site, and competition from introduced grasses/Contribution 1",Experimental,North America,Cover of exotic species,Disturbance,Questioned,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,herbicide application,Management methods,Yes,2003,"Contingency of grassland restoration on year, site, and competition from introduced grasses/Contribution 1","Contingency of grassland restoration on year, site, and competition from introduced grasses"
"Diversity patterns of small mammals in the Zambales Mts., Luzon, Philippines/Contribution 1",Observational or correlational,Asia,Number of exotic species,Disturbance,Supported,Field,Terrestrial,Mammals,2,Testing the disturbance hypothesis in invasion biology,"different habitat types (disturbed, regenerating lowland dipterocarp forest, lightly disturbed lower montane forest, lightly disturbed old-growth montane forest, and old-growth lower mossy forest) - our study sites followed the mining road-> mining-related disturbance ",Urbanization,Yes,2009,"Diversity patterns of small mammals in the Zambales Mts., Luzon, Philippines/Contribution 1","Diversity patterns of small mammals in the Zambales Mts., Luzon, Philippines"
The roles of competition and disturbance in a marine invasion/Contribution 1,Experimental,North America,Growth/emergence of exotic individuals,Disturbance,Supported,Field,Marine,Plants,1,Testing the disturbance hypothesis in invasion biology,"vegetation removal treatment (e.g., shell?sh dredging, crushing by watercraft, and trampling)",Others,Yes,2006,The roles of competition and disturbance in a marine invasion/Contribution 1,The roles of competition and disturbance in a marine invasion
"Constraints to colonization and growth of the African grass, Melinis minutiflora, in a Venezuelan savanna/Contribution 1",Experimental,South America,Biomass of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,1,Testing the disturbance hypothesis in invasion biology,"manipulated soil fertility by adding nitrogen (+N) (--> weak), nitrogen, phosphorus, and potassium (+NPK) (--> mostly), manipulated soil fertility by adding phosphorus and potassium (+PK) + clipping background vegetation and vegetation and rootmat removed by shovel (Supported)", Economic land use,Yes,2003,"Constraints to colonization and growth of the African grass, Melinis minutiflora, in a Venezuelan savanna/Contribution 1","Constraints to colonization and growth of the African grass, Melinis minutiflora, in a Venezuelan savanna"
Non-indigenous woody invasive plants in a rural New England town/Contribution 1,Observational or correlational,Europe,Abundance/density of exotic species,Disturbance,Supported,Field,Terrestrial,Plants,12,Testing the disturbance hypothesis in invasion biology,Proximity to downtown center,Urbanization,Yes,2004,Non-indigenous woody invasive plants in a rural New England town/Contribution 1,Non-indigenous woody invasive plants in a rural New England town
Interannual variation of fish assemblage structure in a Mediterranean River: Implications of streamflow on the dominance of native or exotic species/Contribution 1,Observational or correlational,Europe,Abundance/density of exotic species,Disturbance,Supported,Field,Freshwater,Fishes,8,Testing the disturbance hypothesis in invasion biology,irregular hydrological regime with severe drought periods and floods (disturbance = several dry years),Flood,No,2003,Interannual variation of fish assemblage structure in a Mediterranean River: Implications of streamflow on the dominance of native or exotic species/Contribution 1,Interannual variation of fish assemblage structure in a Mediterranean River: Implications of streamflow on the dominance of native or exotic species
Determinants of Caulerpa racemosa distribution in the north-western Mediterranean/Contribution 1,Observational or correlational,,Colonization success,Disturbance,Supported,Field,Marine,Algae,1,Testing the disturbance hypothesis in invasion biology,"urban, extra-urban or protected reefs",Urbanization,Yes,2011,Determinants of Caulerpa racemosa distribution in the north-western Mediterranean/Contribution 1,Determinants of Caulerpa racemosa distribution in the north-western Mediterranean
An experimental study of plant community invasibility/Contribution 1,Experimental,Europe,Cover of exotic species ,Disturbance,Supported,Field,Terrestrial,Plants,34,Testing the disturbance hypothesis in invasion biology,"disturbance intensity -  cutting gaps in the turf, and mowing the vegetation at different heights", Economic land use,Yes,1996,An experimental study of plant community invasibility/Contribution 1,An experimental study of plant community invasibility
