index,Research Method,Continent,Measure of invasion success,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of propagule pressure,Study date,study,publication
Number of source populations as a potential driver of pine invasions in Brazil/Contribution 1,Observational or correlational,South America,Abundance,Propagule pressure,Supported,Field,Terrestrial,Plants,16,Testing the propagule pressure hypothesis in invasion biology,Propagule size,2013,Number of source populations as a potential driver of pine invasions in Brazil/Contribution 1,Number of source populations as a potential driver of pine invasions in Brazil
Number of source populations as a potential driver of pine invasions in Brazil/Contribution 2,Observational or correlational,South America,Spread,Propagule pressure,Supported,Field,Terrestrial,Plants,16,Testing the propagule pressure hypothesis in invasion biology,Propagule size,2013,Number of source populations as a potential driver of pine invasions in Brazil/Contribution 2,Number of source populations as a potential driver of pine invasions in Brazil
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 1,Experimental,North America,Abundance,Propagule pressure,Undecided,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Total number released,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 1,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 2,Experimental,North America,Spread,Propagule pressure,Undecided,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Total number released,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 2,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 3,Experimental,North America,Survival,Propagule pressure,Undecided,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Total number released,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 3,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 4,Experimental,North America,Abundance,Propagule pressure,Undecided,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Distance from source,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 4,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 5,Experimental,North America,Spread,Propagule pressure,Undecided,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Distance from source,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 5,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 6,Experimental,North America,Survival,Propagule pressure,Undecided,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Distance from source,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 6,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 7,Experimental,North America,Abundance,Propagule pressure,Questioned,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Propagule frequency,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 7,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 8,Experimental,North America,Spread,Propagule pressure,Undecided,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Propagule frequency,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 8,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 9,Experimental,North America,Survival,Propagule pressure,Questioned,Field,Terrestrial,Insects,4,Testing the propagule pressure hypothesis in invasion biology,Propagule frequency,2012,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents/Contribution 9,Biological control as an invasion process: disturbance and propagule pressure affect the invasion success of Lythrum salicaria biological control agents
Propagule pressure and colony social organization are associated with the successful invasion and rapid range expansion of fire ants in China/Contribution 1,Observational or correlational,Asia,Spread distance,Propagule pressure,Supported,Field,Terrestrial,Insects,1,Testing the propagule pressure hypothesis in invasion biology,Other proxies,2012,Propagule pressure and colony social organization are associated with the successful invasion and rapid range expansion of fire ants in China/Contribution 1,Propagule pressure and colony social organization are associated with the successful invasion and rapid range expansion of fire ants in China
