index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of resistance/susceptibility,Study date,same as,study,publication
Global patterns in threats to vertebrates by biological invasions/Contribution,Observational or correlational,All continents, Island susceptibility,Supported,Field,Terrestrial,Amphibians; Reptiles; Birds; Mammals,6269,Testing the island susceptibility hypothesis in invasion biology,IAS-threatened species,2016,,Global patterns in threats to vertebrates by biological invasions/Contribution,Global patterns in threats to vertebrates by biological invasions
The island biogeography of exotic bird species/Contribution,Observational or correlational,All continents except Antarctica, Island susceptibility,Supported,Field,Terrestrial,Birds,,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2008,,The island biogeography of exotic bird species/Contribution,The island biogeography of exotic bird species
Determinants of establishment success in introduced birds/Contribution 1,Observational or correlational,All continents except Antarctica, Island susceptibility,Questioned,Field,Terrestrial,Birds,389,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2001,,Determinants of establishment success in introduced birds/Contribution 1,Determinants of establishment success in introduced birds
A comparative analysis of the relative success of introduced land birds on islands/Contribution,Observational or correlational,All continents except Antarctica, Island susceptibility,Supported,Field,Terrestrial,Birds,416,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2003,,A comparative analysis of the relative success of introduced land birds on islands/Contribution,A comparative analysis of the relative success of introduced land birds on islands
Global patterns of introduction effort and establishment success in birds/Contribution,Observational or correlational,All continents except Antarctica, Island susceptibility,Questioned,Field,Terrestrial,Birds,416,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2004,,Global patterns of introduction effort and establishment success in birds/Contribution,Global patterns of introduction effort and establishment success in birds
Invasibility of tropical islands by introduced plants: partitioning the influence of isolation and propagule pressure/Contribution 1,Observational or correlational,"['Asia', 'North America', 'Oceania']", Island susceptibility,Questioned,Field,Terrestrial,Plants,1508,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2006,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Invasibility of tropical islands by introduced plants: partitioning the influence of isolation and propagule pressure/Contribution 1,Invasibility of tropical islands by introduced plants: partitioning the influence of isolation and propagule pressure
Learning from failures: testing broad taxonomic hypotheses about plant naturalization/Contribution,Observational or correlational,Oceania, Island susceptibility,Questioned,Field,Terrestrial,Plants,40988,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2009,"['https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Learning from failures: testing broad taxonomic hypotheses about plant naturalization/Contribution,Learning from failures: testing broad taxonomic hypotheses about plant naturalization
Macroecological drivers of alien conifer naturalizations worldwide/Contribution,Observational or correlational,All continents except Asia and Antarctica, Island susceptibility,Undecided,Field,Terrestrial,Plants,86,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2011,,Macroecological drivers of alien conifer naturalizations worldwide/Contribution,Macroecological drivers of alien conifer naturalizations worldwide
Global assessment of establishment success for amphibian and reptile invaders/Contribution,Observational or correlational,All continents, Island susceptibility,Undecided,Field,Terrestrial and freshwater,Amphibians; Reptiles,630,Testing the island susceptibility hypothesis in invasion biology,Establishment success,2012,,Global assessment of establishment success for amphibian and reptile invaders/Contribution,Global assessment of establishment success for amphibian and reptile invaders
Are islands more susceptible to plant invasion than continents? A test using Oxalis pes-caprae L. in the western Mediterranean/Contribution,Observational or correlational,Europe, Island susceptibility,Undecided,Field,Terrestrial,Plants,1,Testing the island susceptibility hypothesis in invasion biology,Occurrence & abundance of exotic species,2006,,Are islands more susceptible to plant invasion than continents? A test using Oxalis pes-caprae L. in the western Mediterranean/Contribution,Are islands more susceptible to plant invasion than continents? A test using Oxalis pes-caprae L. in the western Mediterranean
