index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Type of interaction,Type of effect description,Ecological Level of evidence,Outcome of interaction,Study date,study,publication
Predicting spatial extent of invasive earthworms on na oceanic island/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,presence of earthworms was positively associated non-native plant cover,Population,Abundance and or Density,2016,Predicting spatial extent of invasive earthworms on na oceanic island/Contribution 1,Predicting spatial extent of invasive earthworms on na oceanic island
Habitat augmentation drives secondary invasion: na experimental approach to determine the mechanism of invasion success/Contribution 1,Experimental,Oceania,Invasional meltdown,Supported,Field,Terrestrial,Molluscs,13,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,abundance of exotic snail is facilitated by indirect habitat augmentation as a result of the invasive ant-scale mutualism.,Population,Abundance and or Density,2016,Habitat augmentation drives secondary invasion: na experimental approach to determine the mechanism of invasion success/Contribution 1,Habitat augmentation drives secondary invasion: na experimental approach to determine the mechanism of invasion success
"Foraging behavior interactions between two non-native social wasps, Vespula germanica and V. vulgaris (Hymenoptera: Vespidae): implications for invasion success?/Contribution 1",Experimental,South America,Invasional meltdown,Questioned,Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,one species avoided foraging in the presence of the other but the other ignored the presence of the previous,Individual,Implicit measure,2016,"Foraging behavior interactions between two non-native social wasps, Vespula germanica and V. vulgaris (Hymenoptera: Vespidae): implications for invasion success?/Contribution 1","Foraging behavior interactions between two non-native social wasps, Vespula germanica and V. vulgaris (Hymenoptera: Vespidae): implications for invasion success?"
Do high-impact invaders have the strongest negative effects on abundant and functionally similar resident species?/Contribution 1,Experimental,North America,Invasional meltdown,Questioned,Field,Terrestrial,Crustaceans,1,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,Aegilops disproportionately tended to replace other exotic annual grasse,Population,Abundance and or Density,2016,Do high-impact invaders have the strongest negative effects on abundant and functionally similar resident species?/Contribution 1,Do high-impact invaders have the strongest negative effects on abundant and functionally similar resident species?
Synergistic impacts by na invasive amphipod and na invasive fish explain native gammarid extinction/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Lab,Freshwater,Crustaceans;Fishes,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,exotic species preferentialy preferred native prey which competes with another invader. Native prey was more susceptible to predation in the presence of competing invasive,Individual,Impact,2016,Synergistic impacts by na invasive amphipod and na invasive fish explain native gammarid extinction/Contribution 1,Synergistic impacts by na invasive amphipod and na invasive fish explain native gammarid extinction
"A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas/Contribution 1",Observational,South America,Invasional meltdown,Supported,Field,Terrestrial/Freshwater,Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,dam construction by beaver provide habitat for muskrat which in turn eats invasive mink. Mink negatively affect native biota,Individual,"Resource/ Survival, Growth and or Reproduction/Impact on individual",2016,"A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas/Contribution 1","A synergistic trio of invasive mammals? Facilitative interactions among beavers, muskrats, and mink at the southern end of the Americas"
Conquerors or exiles? Impact of interference competition among invasive Ponto-Caspian gammarideans on their dispersal rates/Contribution 1,Experimental,Europe,Invasional meltdown,Supported,Lab,Freshwater,Crustaceans,3,Testing the invasional meltdown hypothesis in invasion biology,A = B,two exotic competitors stimulate their dispersal,Individual,Dispersal,2016,Conquerors or exiles? Impact of interference competition among invasive Ponto-Caspian gammarideans on their dispersal rates/Contribution 1,Conquerors or exiles? Impact of interference competition among invasive Ponto-Caspian gammarideans on their dispersal rates
Asiatic Callosciurus squirrels as seed dispersers of exotic plants in the Pampas/Contribution 1,Experimental & Observational,South America,Invasional meltdown,Supported,Lab & Field,Terrestrial,Plants;Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,exotic species disperse viable seeds of two exotic plants,Individual,Dispersal,2016,Asiatic Callosciurus squirrels as seed dispersers of exotic plants in the Pampas/Contribution 1,Asiatic Callosciurus squirrels as seed dispersers of exotic plants in the Pampas
"Species diversity, phenology, and temporal flight patterns of Hypothenemus Pygmy Borers (Coleoptera: Curculionidae: Scolytinae) in South Florida/Contribution 1",Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Insects,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,exotic kill plants that serve as habitat/resource for another exotic,Population,Abundance and or Density,2016,"Species diversity, phenology, and temporal flight patterns of Hypothenemus Pygmy Borers (Coleoptera: Curculionidae: Scolytinae) in South Florida/Contribution 1","Species diversity, phenology, and temporal flight patterns of Hypothenemus Pygmy Borers (Coleoptera: Curculionidae: Scolytinae) in South Florida"
Estuarine fouling communities are dominated by nonindigenous species in the presence of na invasive crab/Contribution 1,Experimental,North America,Invasional meltdown,Supported,Field,Marine,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,exotic predator increase dominance of another exotic,Population,Abundance and or Density,2016,Estuarine fouling communities are dominated by nonindigenous species in the presence of na invasive crab/Contribution 1,Estuarine fouling communities are dominated by nonindigenous species in the presence of na invasive crab
Early life stages of exotic gobiids as new hosts for unionid glochidia/Contribution 1,Observational,Europe,Invasional meltdown,Supported,Field,Freshwater,Fishes;Molluscs,3,Testing the invasional meltdown hypothesis in invasion biology,A - B,presence of exotic host facilitating establishment of exotic parasite,Population,Abundance and or Density,2016,Early life stages of exotic gobiids as new hosts for unionid glochidia/Contribution 1,Early life stages of exotic gobiids as new hosts for unionid glochidia
Twelve years of repeated wild hog activity promotes population maintenance of na invasive clonal plant in a coastal dune ecosystem/Contribution 1,Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,2,Testing the invasional meltdown hypothesis in invasion biology,A - B,disturbed areas by a exotic increased density of a exotic plant and reduced natives,Population,Abundance and or Density/Impact on native species,2016,Twelve years of repeated wild hog activity promotes population maintenance of na invasive clonal plant in a coastal dune ecosystem/Contribution 1,Twelve years of repeated wild hog activity promotes population maintenance of na invasive clonal plant in a coastal dune ecosystem
Strong invaders are strong defenders - implications for the resistance of invaded communities/Contribution 1,Observational,Europe,Invasional meltdown,Questioned,Field,Freshwater,Fishes,26,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,"species’ invasion success was positively correlated with their defence capacity and impact, suggesting that these communities will develop stronger resistance",Individual,"Survival, Growth and or Reproduction",2016,Strong invaders are strong defenders - implications for the resistance of invaded communities/Contribution 1,Strong invaders are strong defenders - implications for the resistance of invaded communities
"Feeding behaviour, predatory functional response and trophic interactions of the invasive Chinese mitten crab (Eriocheir sinensis) and signal crayfish (Pacifastacus leniusculus)/Contribution 1",Experimental,Europe,Invasional meltdown,Supported,Enclosure,Freshwater,Crustaceans,2,Testing the invasional meltdown hypothesis in invasion biology,A = B,Presence of the decapods in sympatry caused a trophic cascade,Community,Impact,2016,"Feeding behaviour, predatory functional response and trophic interactions of the invasive Chinese mitten crab (Eriocheir sinensis) and signal crayfish (Pacifastacus leniusculus)/Contribution 1","Feeding behaviour, predatory functional response and trophic interactions of the invasive Chinese mitten crab (Eriocheir sinensis) and signal crayfish (Pacifastacus leniusculus)"
Positive plant and bird diversity response to experimental deer population reduction after decades of uncontrolled browsing/Contribution 1,Experimental & Observational,North America,Invasional meltdown,Supported,Field,Terrestrial,Plants;Mammals,3,Testing the invasional meltdown hypothesis in invasion biology,Multi species interaction,reductions in exotic plants abundance following a reduction in exotic herbivory.,Population,Abundance and or Density,2016,Positive plant and bird diversity response to experimental deer population reduction after decades of uncontrolled browsing/Contribution 1,Positive plant and bird diversity response to experimental deer population reduction after decades of uncontrolled browsing
