index,Research Method,Continent,hypothesis,support for hypothesis,type of experiment,Habitat,Investigated species,Number of species,has research problem,Measure of resistance/susceptibility,Measure of native biodiversity,Study date,same as,study,publication
Saturation and invasion resistance of non-interactive plant communities/Contribution 1,Observational or correlational,Asia,Biotic resistence,Supported,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Proxy,2010,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Saturation and invasion resistance of non-interactive plant communities/Contribution 1,Saturation and invasion resistance of non-interactive plant communities
Community Structure Affects Annual Grass Weed Invasion During Restoration of a Shrub-Steppe Ecosystem/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,,,Testing the biotic resistence hypothesis in invasion biology,Biomass of exotic species,Number of native species,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Community Structure Affects Annual Grass Weed Invasion During Restoration of a Shrub-Steppe Ecosystem/Contribution 1,Community Structure Affects Annual Grass Weed Invasion During Restoration of a Shrub-Steppe Ecosystem
Loss of native herbaceous species due to woody plant encroachment facilitates the establishment of an invasive grass/Contribution 1,Experimental and observational/correlational,North-America,Biotic resistence,Supported,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Loss of native herbaceous species due to woody plant encroachment facilitates the establishment of an invasive grass/Contribution 1,Loss of native herbaceous species due to woody plant encroachment facilitates the establishment of an invasive grass
"The abiotic and biotic factors limiting establishment of predatory fishes at their expanding northern range boundaries in Ontario, Canada/Contribution 1",Observational or correlational,North-America,Biotic resistence,Supported,Field,Freshwater,Fishes,81,Testing the biotic resistence hypothesis in invasion biology,Establishment success,Number of native species,2015,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']","The abiotic and biotic factors limiting establishment of predatory fishes at their expanding northern range boundaries in Ontario, Canada/Contribution 1","The abiotic and biotic factors limiting establishment of predatory fishes at their expanding northern range boundaries in Ontario, Canada"
Environmental and biotic correlates to lionfish invasion success in Bahamian coral reefs/Contribution 1,Observational or correlational,North-America,Biotic resistence,Questioned,Field,Marine,Fishes,81,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Number of native functional groups,2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Environmental and biotic correlates to lionfish invasion success in Bahamian coral reefs/Contribution 1,Environmental and biotic correlates to lionfish invasion success in Bahamian coral reefs
Niche occupation by invasive ground-dwelling predator species in Canarian laurel forests/Contribution 1,Observational or correlational,Africa,Biotic resistence,Questioned,Field,Terrestrial,Other invertebrates,7,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2006,,Niche occupation by invasive ground-dwelling predator species in Canarian laurel forests/Contribution 1,Niche occupation by invasive ground-dwelling predator species in Canarian laurel forests
Invasion patterns of ground-dwelling arthropods in Canarian laurel forests/Contribution 2,Observational or correlational,Africa,Biotic resistence,Questioned,Field,Terrestrial, Crustaceans;Insects;Other invertebrates,21,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2008,,Invasion patterns of ground-dwelling arthropods in Canarian laurel forests/Contribution 2,Invasion patterns of ground-dwelling arthropods in Canarian laurel forests
Invasion patterns of ground-dwelling arthropods in Canarian laurel forests/Contribution 3,Observational or correlational,Africa,Biotic resistence,Questioned,Field,Terrestrial, Crustaceans;Insects;Other invertebrates,21,Testing the biotic resistence hypothesis in invasion biology,Abundance of exotic species,Proxy,2008,,Invasion patterns of ground-dwelling arthropods in Canarian laurel forests/Contribution 3,Invasion patterns of ground-dwelling arthropods in Canarian laurel forests
Stress and land-use legacies alter the relationship between invasive- and native- plant richness/Contribution 1,Experimental,North-America,Biotic resistence,Questioned,Field,Terrestrial,Plants,126,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2015,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Stress and land-use legacies alter the relationship between invasive- and native- plant richness/Contribution 1,Stress and land-use legacies alter the relationship between invasive- and native- plant richness
Deconstructing the native-exotic richness relationship in plants/Contribution 1,Observational or correlational,Europe,Biotic resistence,Questioned,Field,Terrestrial,Plants,,Testing the biotic resistence hypothesis in invasion biology,Number of exotic species,Number of native species,2012,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Deconstructing the native-exotic richness relationship in plants/Contribution 1,Deconstructing the native-exotic richness relationship in plants
