index,Research Method,Continent,Measure of invasion success,hypothesis,support for hypothesis,type of experiment,Measure of species relationship,Habitat,WOS search or Cited references,Investigated species,Number of species,has research problem,Study date,same as,study,publication
Plant invasions in Taiwan: Insights from the flora of casual and naturalized alien species/Contribution 1,Observational or correlational,Asia,Invasion Status from Database: Naturalized,Darwin's naturalisation,Supported,Field,Number of species in the same genus,Terrestrial,Cited references,Plants,327,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2004,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48']",Plant invasions in Taiwan: Insights from the flora of casual and naturalized alien species/Contribution 1,Plant invasions in Taiwan: Insights from the flora of casual and naturalized alien species
The Roles of Climate- Phylogenetic Relatedness- Introduction Effort- and Reproductive Traits in the Establishment of Non-Native Reptiles and Amphibians/Contribution 1,Observational or correlational,North America,Invasion Status from Database/ Expert judgement: Established,Darwin's naturalisation,Supported,Field,PNND,Terrestrial/Freshwater/Marine,Cited references,Amphibians and Reptiles,139,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",The Roles of Climate- Phylogenetic Relatedness- Introduction Effort- and Reproductive Traits in the Establishment of Non-Native Reptiles and Amphibians/Contribution 1,The Roles of Climate- Phylogenetic Relatedness- Introduction Effort- and Reproductive Traits in the Establishment of Non-Native Reptiles and Amphibians
The Roles of Climate- Phylogenetic Relatedness- Introduction Effort- and Reproductive Traits in the Establishment of Non-Native Reptiles and Amphibians/Contribution 2,Observational or correlational,North America,Invasion Status from Database/ Expert judgement: Established,Darwin's naturalisation,Supported,Field,MPD,Terrestrial/Freshwater/Marine,Cited references,Amphibians and Reptiles,139,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",The Roles of Climate- Phylogenetic Relatedness- Introduction Effort- and Reproductive Traits in the Establishment of Non-Native Reptiles and Amphibians/Contribution 2,The Roles of Climate- Phylogenetic Relatedness- Introduction Effort- and Reproductive Traits in the Establishment of Non-Native Reptiles and Amphibians
Establishment success of introduced amphibians increases in the presence of congeneric species/Contribution 1,Observational or correlational,All continents except Antarctica,Invasion Status from Database: Established,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Terrestrial/Freshwater,WOS search,Amphibians,162,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,,Establishment success of introduced amphibians increases in the presence of congeneric species/Contribution 1,Establishment success of introduced amphibians increases in the presence of congeneric species
Associations between a highly invasive species and native macrophytes differ across spatial scales/Contribution 1,Observational or correlational,South America,Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Questioned,Field,Number of species in the same family,Freshwater,WOS search,Plants,1,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255150/', 'https://www.wikidata.org/entity/Q18']",Associations between a highly invasive species and native macrophytes differ across spatial scales/Contribution 1,Associations between a highly invasive species and native macrophytes differ across spatial scales
Fish species introductions provide novel insights into the patterns and drivers of phylogenetic structure in freshwaters/Contribution 1,Observational or correlational,North America,Expert judgement: Invasive,Darwin's naturalisation,Undecided,Field,MPD,Freshwater,WOS search,Fishes,85,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2014,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Fish species introductions provide novel insights into the patterns and drivers of phylogenetic structure in freshwaters/Contribution 1,Fish species introductions provide novel insights into the patterns and drivers of phylogenetic structure in freshwaters
Exotic taxa less related to native species are more invasive/Contribution 1,Observational or correlational,North America,Invasion Status from Database: Invasive,Darwin's naturalisation,Supported,Field,PNND,Terrestrial,Cited references,Plants,207,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Exotic taxa less related to native species are more invasive/Contribution 1,Exotic taxa less related to native species are more invasive
Exotic taxa less related to native species are more invasive/Contribution 2,Observational or correlational,North America,Invasion Status from Database: Invasive,Darwin's naturalisation,Supported,Field,MPD,Terrestrial,Cited references,Plants,207,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2006,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Exotic taxa less related to native species are more invasive/Contribution 2,Exotic taxa less related to native species are more invasive
Testing Darwin's naturalization hypothesis in the Azores/Contribution 1,Observational or correlational,Europe,Invasion Status from Database: Invasive,Darwin's naturalisation,Supported,Field,PNND,Terrestrial,WOS search,Plants,645,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Testing Darwin's naturalization hypothesis in the Azores/Contribution 1,Testing Darwin's naturalization hypothesis in the Azores
Testing Darwin's naturalization hypothesis in the Azores/Contribution 2,Observational or correlational,Europe,Invasion Status from Database: Invasive,Darwin's naturalisation,Questioned,Field,MPD,Terrestrial,WOS search,Plants,645,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2011,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Testing Darwin's naturalization hypothesis in the Azores/Contribution 2,Testing Darwin's naturalization hypothesis in the Azores
Invasiveness of alien plants in Brussels is related to their phylogenetic similarity to native species/Contribution 1,Observational or correlational,Europe,Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Questioned,Field,PNND,Terrestrial,Cited references,Plants,186,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Invasiveness of alien plants in Brussels is related to their phylogenetic similarity to native species/Contribution 1,Invasiveness of alien plants in Brussels is related to their phylogenetic similarity to native species
Invasiveness of alien plants in Brussels is related to their phylogenetic similarity to native species/Contribution 2,Observational or correlational,Europe,Abundance/Biomass/Cover/Growth of exotic species,Darwin's naturalisation,Questioned,Field,MPD,Terrestrial,Cited references,Plants,186,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2010,"['https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46']",Invasiveness of alien plants in Brussels is related to their phylogenetic similarity to native species/Contribution 2,Invasiveness of alien plants in Brussels is related to their phylogenetic similarity to native species
Does Darwin's naturalization hypothesis explain fish invasions?/Contribution 1,Observational or correlational,"['Asia', 'Europe', 'North America']",Invasion Status from Database: Established,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Freshwater/Marine,WOS search,Fishes,388,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2006,"['https://sws.geonames.org/6255147/', 'https://www.wikidata.org/entity/Q48', 'https://sws.geonames.org/6255148/', 'https://www.wikidata.org/entity/Q46', 'https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Does Darwin's naturalization hypothesis explain fish invasions?/Contribution 1,Does Darwin's naturalization hypothesis explain fish invasions?
Distinctiveness magnifies the impact of biological invaders in aquatic ecosystems/Contribution 1,Observational or correlational,"['North America', 'Oceania']",Expert judgement: Invasive,Darwin's naturalisation,Supported,Field,Number of species in the same genus,Freshwater/Marine,Cited references,Fishes,739,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2004,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49', 'https://sws.geonames.org/6255151/', 'https://www.wikidata.org/entity/Q538']",Distinctiveness magnifies the impact of biological invaders in aquatic ecosystems/Contribution 1,Distinctiveness magnifies the impact of biological invaders in aquatic ecosystems
A theory of seed plant invasiveness: The first sketch/Contribution 1,Observational or correlational,North America,Invasion Status from Database: Naturalized,Darwin's naturalisation,Supported,Field,Number of species in the same genus,Terrestrial,Cited references,Plants,112,"Testing the Darwin's naturalisation hypothesis in invasion biology
",1996,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",A theory of seed plant invasiveness: The first sketch/Contribution 1,A theory of seed plant invasiveness: The first sketch
Introduction pathway and climate trump ecology and life history as predictors of establishment success in alien frogs and toads/Contribution 1,Observational or correlational,All continents except Antarctica,Invasion Status from Database: Established,Darwin's naturalisation,Supported,Field,Number of species in the same genus,Terrestrial/Freshwater,Cited references,Amphibians,184,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2012,,Introduction pathway and climate trump ecology and life history as predictors of establishment success in alien frogs and toads/Contribution 1,Introduction pathway and climate trump ecology and life history as predictors of establishment success in alien frogs and toads
Validity of Darwin's naturalization hypothesis relates to the stages of invasion/Contribution 1,Observational or correlational,North America,Invasion Status from Database: Naturalized,Darwin's naturalisation,Questioned,Field,Number of species in the same genus,Terrestrial,WOS search,Plants,282,"Testing the Darwin's naturalisation hypothesis in invasion biology
",2013,"['https://sws.geonames.org/6255149/', 'https://www.wikidata.org/entity/Q49']",Validity of Darwin's naturalization hypothesis relates to the stages of invasion/Contribution 1,Validity of Darwin's naturalization hypothesis relates to the stages of invasion
